Flag,Pixels different from base,Percentage of image
Trans,115252,76.95779915
Progressive,66692,44.53258547
NewPride,62790,41.92708333
Intersex,55434,37.01522436
Bisexual,51258,34.22676282
Genderflux,35532,23.72596154
Pansexual,33608,22.44123932
Maverique,28466,19.00774573
Demigirl,23354,15.59428419
Pangender,22284,14.87980769
Demifluid,22257,14.86177885
Polymorous,21306,14.22676282
TwoSpirit,21123,14.10456731
Graysexual,18466,12.3303953
Demiboy,16856,11.25534188
Gay,16230,10.83733974
Bigender,14916,9.959935897
Neutrois,14320,9.561965812
Lesbian,14245,9.511885684
Demigender,12497,8.344684829
Genderfluid,12235,8.169738248
Trigender,11917,7.957398504
Polysexual,11473,7.660924145
Non-Binary,9876,6.594551282
Asexual,9514,6.352831197
Queer,8708,5.814636752
Demisexual,8006,5.345886752
Omnisexual,7205,4.811030983
Abrosexual,6050,4.039797009
GenderQuestioning,5787,3.864182692
Aromantic,5463,3.647836538
GenderQueer,4017,2.682291667
Androgynous,3744,2.5
Agender,3325,2.220219017